Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Chevilles FISCHER DuoPower Ø8x40 - lot 100 – Réf. 70909762,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70909762,,,À fournir par le client - Leroy Merlin - Réf. 70909762,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Chevilles + vis FISCHER DuoPower Ø8x40 - lot 50 – Réf. 70909811,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70909811,,,À fournir par le client - Leroy Merlin - Réf. 70909811,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Chevilles FISCHER DuoPower Ø6/8/10 - lot 210 – Réf. 70921130,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70921130,,,À fournir par le client - Leroy Merlin - Réf. 70921130,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Béton gris PRB 30 kg – Réf. 72598036,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-72598036,,,À fournir par le client - Leroy Merlin - Réf. 72598036,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Béton haute résistance PRB 30 kg – Réf. 73720521,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-73720521,,,À fournir par le client - Leroy Merlin - Réf. 73720521,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Borne / connecteur / accessoire électrique – Réf. 75810595,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-75810595,,,À fournir par le client - Leroy Merlin - Réf. 75810595,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Chevilles FISCHER DuoPower Ø6x30 - Big Pack 240 – Réf. 76932254,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-76932254,,,À fournir par le client - Leroy Merlin - Réf. 76932254,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Vis SPAX T-Star+ Ø4x45 - lot 450 – Réf. 77676263,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77676263,,,À fournir par le client - Leroy Merlin - Réf. 77676263,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Vis SPAX T-Star+ Ø4x60 - lot 300 – Réf. 77676270,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77676270,,,À fournir par le client - Leroy Merlin - Réf. 77676270,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Vis SPAX T-Star+ Ø4x20 - lot 100 – Réf. 77676424,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77676424,,,À fournir par le client - Leroy Merlin - Réf. 77676424,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Vis SPAX T-Star+ Ø4x25 - lot 100 – Réf. 77676431,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77676431,,,À fournir par le client - Leroy Merlin - Réf. 77676431,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 77676564,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77676564,,,À fournir par le client - Leroy Merlin - Réf. 77676564,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 77676816,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77676816,,,À fournir par le client - Leroy Merlin - Réf. 77676816,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 77676830,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77676830,,,À fournir par le client - Leroy Merlin - Réf. 77676830,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
